kepid,name,period,epoch,duration
7215678,K02354.01,1.151244686,132.64551,0.053
7449554,K02357.01,2.42088277,133.57809,0.11716666666666666
3440978,K02288.01,38.103908,161.08647,0.159875
9532710,K02364.01,5.24242029,133.23047,0.2672083333333333
9580992,K02217.01,37.8034121,155.37719,0.193375
6934986,K02294.01,131.485184,177.48749,0.2205833333333333
4049901,K02295.01,16.2908527,132.11774,0.13233333333333333
10798331,K02373.01,147.281212,148.80124,0.30729166666666663
9334893,K02298.01,16.6671415,141.76551,0.14691666666666664
9289704,K02222.01,34.135676,157.7959,0.37999999999999995
8892157,K02224.02,86.130534,200.9117,0.138375
11520459,K02226.01,8.46354384,134.35341,0.058658333333333326
4247991,K02311.01,191.86419296,294.47036,0.20416666666666666
4247991,K02311.02,13.72549689,145.03352,0.3175
10026544,K02312.01,176.331289,170.8589,0.57875
2853780,K02081.01,6.2141496,132.25182,0.42254166666666665
6185476,K00227.01,17.65737838,136.585509,0.14620833333333333
8804455,K02159.01,7.5966998,131.95296,0.15279166666666666
5546761,K02160.02,15.40877383,139.4831786,0.14541666666666667
8872048,K02323.01,58.35512552,179.39795,0.3520833333333333
7746958,K02324.01,1.204686597,131.90556,0.034291666666666665
6525946,K02093.01,6.78341325,136.10468,0.14765416666666664
6041734,K02167.02,6.95787,359.007,0.18904166666666666
11030475,K02248.02,9.4907638,131.50396,0.11304166666666667
11030475,K02248.03,0.76196247,132.78371,0.05341666666666667
9006186,K02169.04,2.19251903,132.2332,0.076875
10471621,K02554.01,39.7557642,150.60745,0.08158333333333333
10471621,K02554.02,10.27127527,135.17631,0.1262083333333333
8074328,K02486.01,4.267961416,134.07063,0.055945833333333334
4670217,K02560.01,18.1209388,134.17616,0.15754166666666666
9574179,K02637.01,3.98864999,134.8296,0.1465
11391755,K02639.01,25.1123362,146.3464,0.3300833333333333
11391755,K02639.02,2.121023807,170.85004,0.015304166666666667
9088780,K02640.01,33.18089453,136.482018,0.635
8894646,K02641.01,3.55557922,132.75203,0.135
8247770,K02569.01,8.28157072,136.25775,0.12916666666666665
6867588,K02571.01,0.82628442,132.26993,0.0400125
7501646,K02572.01,6.37705295,136.91384,0.08120833333333333
8838950,K02421.01,2.27050106,133.54216,0.07929166666666666
12257999,K02577.01,18.55581565,132.07105,0.22383333333333333
6922203,K02578.01,13.33094869,133.78632,0.05941666666666666
2437505,K02671.01,21.47642727,149.26156,0.23124166666666668
8836888,K02508.01,7.10397925,136.33096,0.06415833333333333
8636539,K02656.01,6.77367892,138.07568,0.149125
9283156,K02657.01,5.22402436,132.85379,0.10866666666666666
9574158,K02512.01,15.92108138,147.0537,0.06434583333333332
7294743,K02516.01,2.81043228,133.40821,0.16141666666666665
6765135,K02592.01,175.603366,202.3721,0.39762499999999995
5342061,K02666.01,64.034363,159.0432,0.38225
4047631,K02519.01,4.790912471,132.01539,0.021391666666666663
6516185,K02445.01,47.3659328,175.0355,0.330375
7446631,K02598.01,29.2254372,143.98764,0.22054166666666666
5906426,K02377.01,13.9034057,143.52317,0.142
12208631,K02449.01,53.3580444,138.38498,0.2838333333333333
2443393,K02603.01,73.711039,202.7848,0.41924999999999996
9019191,K02604.01,14.43348326,143.60783,0.11095833333333333
3002478,K02380.01,6.35705314,135.47756,0.05516666666666667
8631751,K02453.01,1.530515205,131.867506,0.024770833333333332
4172746,K02531.01,17.6997392,140.94958,0.11499999999999999
5095635,K02607.01,0.754457729,134.983522,0.02454583333333333
12254688,K02384.01,62.6825769,182.22959,0.09695833333333333
4172013,K02386.01,16.2707207,145.097,0.23779166666666665
1996180,K02534.02,5.42204257,133.46021,0.123
2305866,K02610.01,24.1073172,145.9415,0.43604166666666666
9712350,K02613.01,51.5738653,158.06744,0.11599999999999999
9580167,K02548.01,0.827151296,132.07927,0.057708333333333334
7984574,K02400.01,11.6191707,142.12335,0.07579166666666666
10336951,K02401.01,38.2292037,166.01191,0.16220833333333332
8240617,K02474.01,176.845697,197.27794,0.15883333333333333
11622985,K02550.01,18.0243482,144.27756,0.14895833333333333
11361283,K02551.01,16.4793229,142.94163,0.13799999999999998
6364215,K02404.01,2.10081629,132.26789,0.117425
6467363,K02840.01,3.67936863,134.99021,0.14458333333333334
6467363,K02840.02,7.4464635,137.3391,0.17016666666666663
10073672,K02764.01,2.252976718,132.23957,0.07137916666666666
