name,period,cat_period,epoch,cat_epoch,duration,cat_duration,label
K02335.01,16.22368972934912,16.22378479,136.02679462324545,136.02454,0.08487333333333327,0.1060916666666666,1
K02096.01,9.763563096580882,9.76293284,139.1077935945181,139.15802,0.1531999999999999,0.1276666666666666,1
K02097.01,58.58211047524111,58.601926,137.73553238752112,137.66825,0.11504166666666665,0.2300833333333333,1
K02098.01,25.088122961738378,25.0823402,133.9750116889415,134.13568,0.2943875,0.267625,1
K02098.02,89.69292982302933,89.7224125,163.35124085560815,163.15815,0.41111249999999994,0.4567916666666666,1
K02099.01,84.18053014079683,78.0998908,193.27387890939048,139.49646,0.21054999999999996,0.3509166666666666,1
K02100.01,4.270944296467525,4.27103727,133.15289531786033,133.14028,0.08534624999999994,0.0948291666666666,1
K02171.01,3.5322654602732064,3.53232429,134.75490509199963,134.74727,0.1152083333333333,0.1152083333333333,1
K00026.01,15.041390951934606,15.03946326,122.07978654303265,144.137461,0.1487733333333333,0.2125333333333333,0
K00230.01,4.7024993542848375,4.702495974,131.6050694740432,136.308468,0.08782875,0.0975875,0
K02172.01,10.440079694415406,10.44087398,138.02356385141556,137.97113,0.14036249999999997,0.1559583333333333,1
K02172.02,109.82757543535072,116.583183,211.17772010141556,246.6275,0.21749999999999997,0.2416666666666666,1
K02555.01,12.572294536815143,12.5722897,130.49628962722457,143.0663,0.17868749999999994,0.1985416666666666,1
K02556.01,40.825873685635656,40.8366307,153.07084153788645,152.87346,0.28909999999999997,0.2065,1
K02557.01,11.775573765539667,11.7761073,354.69620052259404,142.70558,0.117875,0.117875,0
K02633.01,29.703093795642435,29.7123181,122.29783385143894,151.5603,1.4660562500000003,2.9321125,0
K00253.02,19.152412981427617,20.6180348,132.21338118372722,145.51232,0.190575,0.136125,1
K00253.01,6.38331158439147,6.383159135,132.29272410039388,170.604622,0.0729333333333333,0.0729333333333333,1
K02634.01,19.93974972788891,19.9401211,142.35437443533888,142.34849,0.1606125,0.1784583333333333,1
K02635.01,22.24785458829185,22.2420032,122.26544202037472,144.72364,0.25106666666666666,0.3138333333333333,1
K02636.01,3.8814794013002225,3.88148385,123.48056995543135,135.12314,0.1116249999999999,0.1116249999999999,1
K02409.01,0.5773688590568459,0.577369336,131.84872354203895,132.425795,0.0452166666666666,0.0452166666666666,1
K02410.01,189.22818788790764,186.65435483,168.91072393153428,187.3800339,0.3065416666666666,0.4379166666666666,0
K02410.02,78.17164245486543,86.59322294,188.83564059820097,201.0035479,0.3325,0.3325,0
K00244.01,12.476081798682188,12.720370263,128.08852187971362,178.528297,0.1023974999999999,0.1137749999999999,1
