model_name,accuracy_score,recall,precision,f1_score,epochs,batch_size,threshold,noise_std
ExoVetNet-1785259553.666094,0.8985167837626854,0.831140350877193,0.8773148148148148,0.8536036036036037,20,64,0.49,0.03
ExoVetNet-1785338392.1003625,0.9055425448868072,0.878099173553719,0.8726899383983573,0.8753861997940268,20,64,0.49,0.0
ExoVetNet-1785338575.1485238,0.9117876658860266,0.8641188959660298,0.8925438596491229,0.8781014023732471,20,64,0.49,0.0
ExoVetNet-1785338575.1485238,0.9086651053864169,0.8587196467991169,0.8800904977375565,0.8692737430167597,20,64,0.49,0.0
ExoVetNet-1785338575.1485238,0.8914910226385636,0.8544303797468354,0.8526315789473684,0.8535300316122234,20,64,0.49,0.0
ExoVetNet-1785338575.1485238,0.9117876658860266,0.8987068965517241,0.8633540372670807,0.880675818373812,20,64,0.49,0.0
ExoVetNet-1785338575.1485238,0.8985167837626854,0.8396624472573839,0.8805309734513275,0.8596112311015118,20,64,0.49,0.0
ExoVetNet-1785339373.4829934,0.9117876658860266,0.908695652173913,0.8548057259713702,0.880927291886196,20,64,0.474,0.05
ExoVetNet-1785339373.4829934,0.9086651053864169,0.8888888888888888,0.8688524590163934,0.8787564766839379,20,64,0.474,0.05
ExoVetNet-1785339373.4829934,0.882903981264637,0.8872340425531915,0.811284046692607,0.8475609756097561,20,64,0.474,0.05
ExoVetNet-1785339373.4829934,0.892271662763466,0.8914027149321267,0.8140495867768595,0.8509719222462203,20,64,0.474,0.05
ExoVetNet-1785339373.4829934,0.9094457455113193,0.8760504201680672,0.879746835443038,0.8778947368421053,20,64,0.474,0.05
ExoVetNet-1785340142.5142975,0.87743950039032,0.9002169197396963,0.7889733840304183,0.8409321175278622,20,64,0.56,0.0
ExoVetNet-1785340142.5142975,0.9047619047619048,0.8877755511022044,0.8703339882121808,0.878968253968254,20,64,0.56,0.0
ExoVetNet-1785340142.5142975,0.8930523028883685,0.8846153846153846,0.8329979879275654,0.8580310880829015,20,64,0.56,0.0
ExoVetNet-1785340142.5142975,0.9102263856362217,0.9337748344370861,0.8326771653543307,0.8803329864724245,20,64,0.56,0.0
ExoVetNet-1785340142.5142975,0.9016393442622951,0.9196428571428571,0.8207171314741036,0.8673684210526316,20,64,0.56,0.0
ExoVetNet-1785355039.743966,0.7743506493506493,0.8860465116279069,0.8089171974522293,0.8457269700332963,20,64,0.56,0.0
ExoVetNet-1785355039.743966,0.8246753246753247,0.9162790697674419,0.8454935622317596,0.8794642857142857,20,64,0.56,0.0
ExoVetNet-1785355039.743966,0.8084415584415584,0.9432624113475178,0.8093306288032455,0.87117903930131,20,64,0.56,0.0
ExoVetNet-1785355039.743966,0.7934959349593496,0.896551724137931,0.8106904231625836,0.8514619883040936,20,64,0.56,0.0
ExoVetNet-1785355039.743966,0.7983739837398374,0.916256157635468,0.8051948051948052,0.8571428571428571,20,64,0.56,0.0
ExoVetNet-1785355359.7142606,0.8814935064935064,0.9191685912240185,0.9128440366972477,0.9159953970080552,20,64,0.56,0.0
ExoVetNet-1785355359.7142606,0.8685064935064936,0.9026128266033254,0.9047619047619048,0.9036860879904876,20,64,0.56,0.0
ExoVetNet-1785355359.7142606,0.8701298701298701,0.9084158415841584,0.8951219512195122,0.9017199017199017,20,64,0.56,0.0
ExoVetNet-1785355359.7142606,0.8798701298701299,0.9097744360902256,0.9052369077306733,0.9075,20,64,0.56,0.0
ExoVetNet-1785355359.7142606,0.8780487804878049,0.9181141439205955,0.8980582524271845,0.9079754601226994,20,64,0.56,0.0
ExoVetNet-1785442611.627808,0.8985167837626854,0.844097995545657,0.8633257403189066,0.8536036036036037,20,64,0.56,0.0
ExoVetNet-1785442611.627808,0.907103825136612,0.8685968819599109,0.8666666666666667,0.8676307007786429,20,64,0.56,0.0
ExoVetNet-1785442611.627808,0.8930523028883685,0.8178053830227743,0.8896396396396397,0.8522114347357066,20,64,0.56,0.0
ExoVetNet-1785442611.627808,0.9164715066354411,0.8802521008403361,0.8933901918976546,0.8867724867724868,20,64,0.56,0.0
ExoVetNet-1785442611.627808,0.9032006245120999,0.8830022075055187,0.8492569002123143,0.8658008658008658,20,64,0.56,0.0
ExoVetNet-1785444683.5116527,0.912568306010929,0.876993166287016,0.8690744920993227,0.873015873015873,20,64,0.5,0.0
ExoVetNet-1785444683.5116527,0.9102263856362217,0.8942917547568711,0.8668032786885246,0.8803329864724245,20,64,0.5,0.0
ExoVetNet-1785444683.5116527,0.8891491022638564,0.8617886178861789,0.8514056224899599,0.8565656565656565,20,64,0.5,0.0
ExoVetNet-1785444683.5116527,0.9078844652615145,0.8747203579418344,0.8631346578366446,0.8688888888888889,20,64,0.5,0.0
ExoVetNet-1785444683.5116527,0.9094457455113193,0.8781512605042017,0.8781512605042017,0.8781512605042017,20,64,0.5,0.0
ExoVetNet-1785444683.5116527,0.9132743362831859,0.882494004796163,0.882494004796163,0.882494004796163,20,64,0.5,0.0
ExoVetNet-1785445478.530484,0.9150442477876106,0.9071925754060325,0.8747203579418344,0.8906605922551253,20,64,0.5,0.0
ExoVetNet-1785445611.4131217,0.9168141592920354,0.9053398058252428,0.8714953271028038,0.888095238095238,20,64,0.5,0.0
ExoVetNet-1785445669.9337602,0.9185840707964602,0.9048780487804878,0.875,0.8896882494004796,20,64,0.5,0.0
ExoVetNet-1785547384.4078226,0.7817371937639198,0.7953795379537953,0.8700361010830325,0.8310344827586207,20,64,0.5,0.0
ExoVetNet-1785547434.4741654,0.9258823529411765,0.9424920127795527,0.8676470588235294,0.9035222052067381,20,64,0.5,0.0
ExoVetNet-1785547840.430901,0.8349705304518664,0.9549295774647887,0.8329238329238329,0.889763779527559,20,64,0.5,0.0
ExoVetNet-1785547840.430901,0.8094302554027505,0.9486404833836858,0.7969543147208121,0.8662068965517241,20,64,0.5,0.0
ExoVetNet-1785547840.430901,0.8487229862475442,0.9684813753581661,0.8366336633663366,0.897742363877822,20,64,0.5,0.0
ExoVetNet-1785547840.430901,0.8113948919449901,0.9492957746478873,0.8120481927710843,0.8753246753246753,20,64,0.5,0.0
ExoVetNet-1785547840.430901,0.8172888015717092,0.9694189602446484,0.7925,0.8720770288858322,20,64,0.5,0.0
ExoVetNet-1785547840.430901,0.8040089086859689,0.9590443686006825,0.7871148459383753,0.8646153846153846,20,64,0.5,0.0
ExoVetNet-1785548445.8498921,0.8644400785854617,0.9273255813953488,0.8787878787878788,0.9024045261669024,20,64,0.5,0.0
ExoVetNet-1785548445.8498921,0.8742632612966601,0.956268221574344,0.870026525198939,0.9111111111111111,20,64,0.5,0.0
ExoVetNet-1785548445.8498921,0.8978388998035364,0.9424242424242424,0.9040697674418605,0.9228486646884273,20,64,0.5,0.0
ExoVetNet-1785548445.8498921,0.8821218074656189,0.9050445103857567,0.9159159159159159,0.9104477611940298,20,64,0.5,0.0
ExoVetNet-1785548445.8498921,0.8801571709233792,0.9269662921348315,0.9041095890410958,0.9153952843273232,20,64,0.5,0.0
ExoVetNet-1785548445.8498921,0.8775055679287305,0.96,0.8700906344410876,0.9128367670364501,20,64,0.5,0.0
ExoVetNet-1785549240.683476,0.8985167837626854,0.8601694915254238,0.8638297872340426,0.861995753715499,20,64,0.5,0.0
ExoVetNet-1785549240.683476,0.9156908665105387,0.8944099378881988,0.8834355828220859,0.8888888888888888,20,64,0.5,0.0
ExoVetNet-1785549240.683476,0.9180327868852459,0.8883928571428571,0.8785871964679912,0.8834628190899001,20,64,0.5,0.0
ExoVetNet-1785549240.683476,0.9047619047619048,0.8896247240618101,0.848421052631579,0.8685344827586207,20,64,0.5,0.0
