kepid,name,label,period,epoch,duration,depth,p_rad
8495415,K02362.02,1,11.08507658,355.03627,0.07295833333333332,771.8,2.5
4055304,K02119.01,1,0.571038347,131.653752,0.04694583333333333,242.1,1.65
4857213,K02120.01,1,8.77425786,132.33386,0.09268749999999999,239.6,1.75
9415108,K02121.01,1,4.51005082,134.56954,0.08972083333333333,294.8,1.74
4262581,K02122.01,1,37.6468519,161.46355,0.2643333333333333,427.4,5.37
8591693,K02123.01,1,29.4557841,154.17062,0.14379166666666665,533.8,2.19
4833421,K00232.01,1,12.466004437,134.003258,0.2086083333333333,2232.1,5.65
8282651,K02193.01,1,2.361724472,133.23932,0.05069583333333333,587.0,1.53
3548044,K02194.01,1,34.7630543,161.74217,0.17954166666666665,293.7,1.75
11401767,K02195.01,1,20.0545282,136.56587,0.298875,305.4,2.63
10909127,K02200.01,1,3.17059731,132.67813,0.069525,325.4,1.69
3661886,K02279.01,1,27.0142622,132.52245,0.224375,287.6,2.0
3661886,K02279.02,1,12.50945798,136.99217,0.14495833333333333,155.3,1.54
2439243,K02280.01,1,26.0203329,154.5286,0.20687499999999998,1164.4,4.53
9221517,K02281.01,1,0.769854899,132.51944,0.042679166666666664,109.6,0.93
6751874,K02282.01,1,6.89226333,132.4644,0.1038375,214.4,2.13
10863608,K02368.01,1,8.07127043,137.76604,0.09970833333333332,318.2,1.53
5602588,K02369.01,1,11.01819178,139.87858,0.193125,545.7,2.64
11288051,K00241.02,1,30.9505927,153.84507,0.22475,301.4,1.51
5547480,K00224.01,0,3.979867514,132.071233,0.09836249999999999,907.6,26.5
9405595,K02125.01,1,23.3593589,144.01826,0.22454166666666667,570.1,2.98
3546060,K02126.01,1,9.69310837,134.53003,0.11391666666666667,1130.7,2.12
7019489,K02128.01,0,24.2598301,132.47982,0.162375,1540.3,25.42
2141783,K02201.01,0,116.5214317,144.13378,0.232375,771.5,44.41
4144576,K02202.01,1,0.813166357,131.82536,0.05884166666666666,173.5,1.14
8494542,K02204.01,1,10.86062378,136.65957,0.09530833333333333,189.6,2.09
9992325,K02205.01,1,24.08632177,148.20086,0.09316666666666668,1041.7,2.78
10206675,K02283.01,0,17.40208965,141.93057,0.15604166666666666,616.5,16.37
9945370,K02285.01,1,37.9456138,134.78331,0.17054166666666665,1032.9,2.79
3832716,K00027.01,0,1.141877248,170.3386848,0.18080458333333332,309490.0,88.62
8453211,K00236.01,0,5.77675928,143.09616,0.282875,3522.5,32.77
8973129,K02286.01,1,24.1738244,135.62471,0.12733333333333333,532.6,2.21
12505654,K02353.01,1,5.186737262,134.99509,0.03342916666666666,712.7,2.4
11670125,K02355.01,1,1.217000383,132.03128,0.05535416666666666,459.8,1.58
11461844,K02356.01,1,13.6823798,139.18611,0.17304166666666665,179.6,1.43
9351920,K02129.01,1,8.79618433,135.67645,0.14075416666666665,286.3,1.77
2161536,K02130.01,1,16.85592593,138.26808,0.09620833333333334,871.5,1.7
10549023,K02131.01,1,14.36270451,141.435,0.19016666666666665,349.4,2.31
9661979,K02132.01,1,69.8956789,160.66805,0.21983333333333333,548.4,3.04
8219268,K02133.01,1,6.24667547,136.38688,0.4692083333333333,396.8,14.93
10531955,K02208.01,1,2.344512589,132.87316,0.05881666666666666,58.9,0.97
4833421,K00232.02,1,5.766165573,134.01725,0.15964166666666665,364.8,2.27
8168187,K02209.01,1,18.3027235,142.89166,0.34425,186.7,2.72
4142847,K02210.01,1,2.888904439,132.15271,0.06684583333333333,402.2,1.68
10203349,K02212.01,1,17.14648756,140.66122,0.176475,440.3,3.64
9718066,K02287.01,1,16.09227518,142.51659,0.0878,128.5,0.98
3867615,K02289.01,1,62.7843981,157.30698,0.20041666666666663,325.0,2.28
12121570,K02290.01,1,91.500873,165.67309,0.20174999999999998,704.8,1.82
8410415,K02291.01,1,44.2993483,141.28194,0.17908333333333332,797.9,2.68
7987866,K02363.01,1,3.13877646,133.65614,0.06942916666666665,174.1,0.97
11560897,K02365.01,1,35.9682692,138.66885,0.11829166666666666,269.7,2.95
11342416,K02366.01,1,25.3690868,143.68699,0.19775,110.1,1.67
9086251,K02367.01,1,6.89213244,131.63179,0.071875,82.0,1.35
4254466,K02134.01,1,42.3006282,168.77783,0.18216666666666664,507.9,2.54
5801571,K00225.01,0,0.838597429,141.537817,0.07027833333333333,2482.1,44.67
9904006,K02135.01,1,55.1866213,180.75953,0.3805416666666666,375.5,2.47
5288570,K02136.01,0,1.728528176,131.80851,0.15341666666666665,197.6,5.07
9364609,K02137.01,1,14.97436238,141.50057,0.10192083333333332,265.4,1.28
7457296,K02213.01,1,3.97076603,134.63962,0.07558333333333334,349.2,1.6
10328458,K02214.01,1,2.352273912,131.80267,0.07245416666666665,318.6,1.29
7050060,K02215.01,0,22.0425953,134.1281,2.5500749999999996,348.0,28.78
4248120,K02216.01,1,23.34036251,136.20727,0.08558333333333332,615.1,2.21
8321314,K02293.01,1,15.03366411,144.98055,0.1363333333333333,374.9,1.7
11498128,K02296.01,1,106.247882,135.7435,0.5741666666666666,397.4,2.01
8041216,K00237.01,1,8.508333104,134.785645,0.14399583333333332,646.5,2.6
11824786,K02371.01,1,12.94123564,139.89901,0.19316666666666665,328.8,1.7
12254909,K02372.01,1,5.349791,133.8836,0.17829166666666665,88.8,1.29
9364290,K02374.01,1,5.26211833,136.37566,0.13516666666666666,194.5,1.95
9364290,K02374.02,1,12.1628195,137.52402,0.09650416666666667,306.3,3.14
5022828,K02138.01,1,23.5541012,144.21486,0.30416666666666664,95.2,2.33
8233702,K02140.01,1,41.6977582,134.24608,0.22970833333333332,684.8,2.26
11403339,K02143.01,1,4.79029482,134.95277,0.1134125,142.0,1.01
